#NAME,case1_after,case1_before,case2_after,case2_before,case3_after,case3_before,case4_after,case4_before,case5_after,case5_before,case6_after,case6_before,case7_after,case7_before,case8_after,case8_before,case9_after,case11_after,case11_before,case12_after,case12_before,case13_after,case13_before,case14_after,case14_before,case15_after,case15_before,donor_1,donor_2,donor_3,donor_4,donor_5,donor_6
K00963,401,170,1081,1071,1150,540,709,313,3592,4169,413,2703,928,2961,1482,862,6552,527,436,1785,352,2401,1103,1406,1963,1182,344,1002,74,156,405,748,677
K00969,1329,199,927,853,1339,504,1115,637,2360,2776,437,1731,1422,1590,1767,729,10703,459,574,1402,571,2201,2159,2027,2009,1600,605,1074,111,294,644,1214,1320
K15789,226,2,104,87,72,40,192,100,29,34,8,300,46,420,121,62,492,57,90,10,44,42,187,32,136,34,18,8,5,27,5,5,83
K08092,27,3,387,149,89,37,45,14,348,327,145,370,41,112,83,153,3030,16,10,128,150,388,175,52,206,79,368,34,2,8,32,40,38
K08094,77,3,125,65,40,10,64,9,33,42,32,131,116,109,11,50,474,134,16,50,19,49,261,78,158,31,46,38,4,17,14,45,56
K02948,1059,132,1044,950,2050,855,2232,978,2416,2764,586,1775,1853,1100,1741,750,10408,799,716,2253,703,2676,2350,3365,2170,2453,678,1783,153,270,1048,2303,2246
K01547,3538,206,2420,1148,2019,913,916,496,1499,1854,1006,3866,1251,3442,3301,2347,15473,1047,1318,1455,1369,2233,4511,5594,3197,2807,2547,626,245,713,800,1469,1339
K01546,3348,201,1890,761,1148,656,486,335,824,1156,663,2336,887,2568,2718,1944,12516,797,1168,804,1132,1549,4013,4010,2360,2330,1867,232,175,557,533,1069,746
K01548,1077,33,581,242,525,204,226,106,302,415,227,816,217,782,925,645,4232,254,391,281,399,495,1213,1271,820,723,646,105,65,159,163,371,276
K02073,442,158,1109,744,1038,435,954,323,2645,3184,543,1733,1039,1490,1006,1032,8281,273,228,1713,300,1599,1015,1650,1368,946,591,733,75,168,404,897,691
K05664,7,5,21,19,22,14,34,39,10,13,7,66,27,25,13,4,25,6,14,34,14,21,22,106,19,132,19,25,6,6,63,91,52
K02945,2386,263,1908,1590,2691,1309,3078,1683,3832,4352,889,2295,2750,2408,3319,1471,24517,1033,1374,2783,1116,4628,4365,3673,3567,3669,1092,2105,215,694,1351,2697,2576
K02946,841,124,874,902,1871,810,1775,891,2161,2653,531,1714,1763,1057,1713,630,9358,676,707,1913,589,2284,2147,2943,1873,2124,659,1384,138,296,829,1875,1986
K21023,33,15,95,70,214,69,162,62,135,139,75,356,170,139,138,67,887,35,16,171,53,138,142,518,157,172,127,106,13,23,155,247,243
K02018,82,16,320,158,261,75,261,80,283,340,187,335,258,178,92,157,2253,155,45,382,156,529,281,690,382,244,226,155,33,58,117,220,282
K02016,355,55,859,422,59,54,142,65,667,679,465,790,223,830,234,528,5940,73,42,112,192,717,383,631,325,161,229,145,20,36,62,126,101
K02017,175,27,375,184,398,153,317,123,473,592,302,288,305,204,199,271,3342,111,55,440,195,643,438,615,405,351,166,224,35,53,144,299,395
K02014,468,174,943,301,1,12,101,16,1025,1251,629,10,111,150,18,672,9210,12,4,13,263,921,102,1,268,77,304,27,16,12,1,2,9
K02015,818,168,1915,1224,790,422,966,400,2164,2243,1137,3123,713,2236,549,1632,13914,407,322,1134,621,2159,1122,2291,1339,965,951,861,114,201,434,796,751
K02012,1,6,9,12,35,2,48,52,10,11,7,29,6,17,2,19,36,7,11,7,10,56,34,159,20,48,16,14,6,2,17,34,5
